authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Maria Briceño,"August 29, 2025",A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,X posts,pants-fire,Fake,0
Amy Sherman,"August 28, 2025","Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Chris Murphy,half-true,Real,1
Amy Sherman,"August 27, 2025","In Washington, D.C., “We always have a murder a week.”",Donald Trump,false,Fake,0
Louis Jacobson,"August 26, 2025","""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",JD Vance,false,Fake,0
Maria Briceño,"August 25, 2025",An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,X posts,false,Fake,0
Louis Jacobson,"August 22, 2025",“We had the biggest tax cut for families that this country has ever seen.”,JD Vance,barely-true,Fake,0
Maria Ramirez,"• August 22,","TikTok videos show police clearing out homeless encampments in Washington, D.C.",TikTok posts,false,Fake,0
Loreben Tuquero,"August 21, 2025",“Democrats have voted for national independent redistricting. Republicans have not.”,Gavin Newsom,mostly-true,Real,1
Grace Abels,"August 20, 2025","The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",Donald Trump,pants-fire,Fake,0
Louis Jacobson,"August 19, 2025","With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",Donald Trump,false,Fake,0
Amy Sherman,"August 18, 2025",“We are now the only country in the world that uses mail-in voting.”,Donald Trump,false,Fake,0
Maria Briceño,"August 15, 2025","La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",TikTok posts,pants-fire,Fake,0
Hope Karnopp,"August 15, 2025",“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Americans for Prosperity,mostly-true,Real,1
Maria Ramirez,"• August 12,","Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",Donald Trump,false,Fake,0
Maria Ramirez,"• August 8,",“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,Donald Trump,barely-true,Fake,0
Samantha Putterman,"August 7, 2025",The official U.S. government website erased sections of the U.S. Constitution without amending it.,Threads posts,false,Fake,0
Maria Briceño,"August 7, 2025","Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",TikTok posts,false,Fake,0
Paul Specht,"August 7, 2025",“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,John Blust,false,Fake,0
Maria Briceño,"August 7, 2025","Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",TikTok posts,false,Fake,0
Amy Sherman,"August 6, 2025",Texas Republicans held one hearing on flood response but eight hearings on redistricting,Ken Martin,half-true,Real,1
Louis Jacobson,"August 5, 2025","Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",Donald Trump,pants-fire,Fake,0
Samantha Putterman,"August 5, 2025",“I’ve stopped six wars” since taking office in January 2025.,Donald Trump,barely-true,Fake,0
Gabrielle Lazor,"August 5, 2025","President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",Social Media,false,Fake,0
Maria Briceño,"August 5, 2025","“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",Threads posts,false,Fake,0
Paul Specht,"August 5, 2025",“Guns are the leading cause of death for children in North Carolina.”,Josh Stein,mostly-true,Real,1
Madeline Heim,"July 30, 2025",“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Francesca Hong,true,Real,1
Maria Briceño,"July 30, 2025","Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",X posts,pants-fire,Fake,0
Gabrielle Lazor,"July 30, 2025",“We gave $60 million two weeks ago” for food aid to Gaza.,Donald Trump,half-true,Real,1
Maria Briceño,"July 29, 2025",Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,X posts,false,Fake,0
Madison Czopek,"July 29, 2025",“There is no starvation in Gaza.”,Benjamin Netanyahu,pants-fire,Fake,0
Maria Briceño,"July 28, 2025",Democrats paid Beyoncé $11 million for an endorsement.,Donald Trump,false,Fake,0
Amy Sherman,"July 28, 2025",The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Markwayne Mullin,false,Fake,0
Loreben Tuquero,"July 28, 2025","Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Social Media,false,Fake,0
Louis Jacobson,"July 25, 2025","“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Ritchie Torres,mostly-true,Real,1
Gabrielle Lazor,"July 24, 2025","“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",U.S. Trade Representative,mostly-true,Real,1
Ella Moore,"July 23, 2025","Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",Gavin Newsom,half-true,Real,1
Louis Jacobson,"July 22, 2025",Tariffs are “going to pay off our deficit.”,Howard Lutnick,false,Fake,0
Louis Jacobson,"July 22, 2025","In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",Donald Trump,pants-fire,Fake,0
Madison Czopek,"July 21, 2025",“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,TikTok posts,pants-fire,Fake,0
Louis Jacobson,"July 21, 2025","Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Lori Chavez-DeRemer,barely-true,Fake,0
Louis Jacobson,"July 18, 2025",“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,Gavin Newsom,mostly-true,Real,1
Grace Abels,"July 18, 2025",The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,Donald Trump,pants-fire,Fake,0
Maria Briceño,"July 16, 2025","El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",TikTok posts,false,Fake,0
Maria Briceño,"July 15, 2025","""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",TikTok posts,pants-fire,Fake,0
Maria Briceño,"July 14, 2025","The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",X posts,false,Fake,0
Gabrielle Lazor,"July 11, 2025",There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,Ron DeSantis,false,Fake,0
Louis Jacobson,"July 11, 2025","A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Kevin Hassett,barely-true,Fake,0
Amy Sherman,"July 11, 2025","“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Jon Favreau,mostly-true,Real,1
Will Doran,"July 10, 2025",Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,X posts,false,Fake,0
Louis Jacobson,"July 10, 2025","China doesn’t “have a lot of wind farms. … Very, very few.”",Donald Trump,pants-fire,Fake,0
Loreben Tuquero,"July 9, 2025",Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Scott Jennings,false,Fake,0
Louis Jacobson,"July 8, 2025",The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,Social Media,barely-true,Fake,0
Louis Jacobson,"July 8, 2025","President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",Hakeem Jeffries,half-true,Real,1
Madison Czopek,"July 7, 2025",The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,Social Media,false,Fake,0
Maria Briceño,"July 7, 2025",“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,TikTok posts,false,Fake,0
Maria Briceño,"July 3, 2025",“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,TikTok posts,false,Fake,0
Maria Briceño,"July 2, 2025","Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",TikTok posts,false,Fake,0
Maria Briceño,"July 2, 2025",President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,TikTok posts,false,Fake,0
Maria Briceño,"July 1, 2025","A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",TikTok posts,false,Fake,0
Loreben Tuquero,"July 1, 2025",Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,X posts,false,Fake,0
Louis Jacobson,"June 30, 2025",The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,Donald Trump,barely-true,Fake,0
Louis Jacobson,"June 27, 2025","“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Elizabeth Warren,half-true,Real,1
Ella Moore,"June 27, 2025","""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Occupy Democrats,mostly-true,Real,1
Arielle Zionts,"June 27, 2025","“A lot of times, health care comes with a job.”",John Thune,half-true,Real,1
Louis Jacobson,"June 26, 2025","If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",Donald Trump,barely-true,Fake,0
Gabrielle Lazor,"June 26, 2025",“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,Social Media,pants-fire,Fake,0
Ella Moore,"June 26, 2025",New York City mayoral candidate Zohran Mamdani is a communist.,Donald Trump,false,Fake,0
Loreben Tuquero,"June 25, 2025",“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,Facebook posts,pants-fire,Fake,0
Hope Karnopp,"June 25, 2025","“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",Josh Schoemann,mostly-true,Real,1
Loreben Tuquero,"June 24, 2025",The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,American Action Network,half-true,Real,1
Gabrielle Lazor,"June 24, 2025",Video shows protesters “outraged” over U.S. attacks in Iran.,X posts,false,Fake,0
